Known As,Overall,Positions Played
H. Kane,89,ST
T. Alexander-Arnold,87,RB
R. Sterling,86,"LW,RW"
K. Walker,85,RB
J. Vardy,85,ST
P. Foden,85,"LW,CF,CAM"
J. Grealish,84,"LW,LM,CAM"
K. Trippier,84,"RB,RM"
J. Bellingham,84,"CM,LM"
J. Tartt,84,ST
R. James,84,"RWB,RB"
D. Rice,84,CDM
M. Mount,84,"CAM,RW"
J. Sancho,84,"LW,RW,LM"
F. Tomori,84,CB
R. Kent,83,"CDM,CM"
J. Henderson,83,"CM,CDM"
J. Stones,83,CB
J. Maddison,82,"CAM,RM"
T. Abraham,82,ST
B. Saka,82,"RM,LM"
A. Ramsdale,82,GK
B. Chilwell,82,"LWB,LB"
J. Pickford,82,GK
H. Maguire,81,CB
M. Rashford,81,"LW,ST"
C. Smalling,81,CB
N. Pope,81,GK
J. Gomez,81,"CB,RB"
J. Ward-Prowse,81,CM
K. Phillips,81,"CDM,CM"
H. Barnes,80,"LM,LW"
A. Wan-Bissaka,80,RB
I. McAdoo,80,CB
E. Smith Rowe,80,"LM,CAM"
L. Shaw,80,LB
E. Dier,80,CB
D. Calvert-Lewin,80,ST
J. Bowen,80,"RM,ST"
C. Gallagher,79,CM
G. Goodman,79,LB
M. Bumbercatch,79,"CM,CDM,CAM"
E. Konsa,79,CB
B. White,79,CB
D. Henderson,79,GK
J. Tarkowski,79,CB
C. Coady,79,CB
L. Dunk,79,CB
C. Wilson,79,ST
D. Ings,79,ST
M. Keane,79,CB
A. Dixon,78,RB
C. Hudson-Odoi,78,"LM,RM,RWB"
M. Guéhi,78,CB
C. Dawson,78,CB
B. Mee,78,CB
A. Cresswell,78,"LB,CB"
P. Bamford,78,ST
J. Lingard,78,CAM
J. Milner,78,"CM,LB,RB"
J. Tavernier,78,RB
O. Watkins,78,"ST,LW"
M. Edwards,78,"RW,LW"
K. Walker-Peters,78,"RB,LB"
T. Mings,78,CB
A. Oxlade-Chamberlain,77,CM
D. Burn,77,"CB,LB"
I. Toney,77,ST
J. Harrison,77,"LM,RM"
D. Alli,77,"CAM,CM"
M. Targett,77,LB
D. Gray,77,"LM,LW,CAM"
J. Shelvey,77,"CM,CDM"
M. Kilman,77,CB
N. Madueke,77,RW
O. Skipp,77,"CDM,CM"
A. Lookman,77,"LM,RM"
R. Holding,77,CB
S. Mavididi,77,"LM,ST"
B. Godfrey,77,"CB,LB"
J. Justin,76,"LB,RB"
T. Chalobah,76,"CB,CDM,CM"
R. Loftus-Cheek,76,"CM,RM"
R. Barkley,76,"CAM,CM"
A. Townsend,76,RM
H. Winks,76,"CM,CDM"
A. Westwood,76,"CDM,CM"
E. Eze,76,"CAM,CM,LM"
R. Oxford,76,"CB,CDM,RB"
R. Kent,76,LW
T. Mitchell,76,LB
C. Jones,76,CM
D. McNeil,76,"LM,RM"
A. Webster,76,CB
J. Hart,76,GK
F. Forster,76,GK
J. Lascelles,75,CB
T. Livramento,75,"RB,RWB"
C. Taylor,75,LB
K. Hause,75,CB
