Known As,Overall,Positions Played
G. Donnarumma,88,GK
M. Verratti,87,"CM,CAM"
C. Immobile,86,ST
N. Barella,86,CM
Jorginho,85,CM
D. Berardi,84,"RM,RW"
L. Insigne,84,"LW,CF,LM"
L. Bonucci,84,CB
G. Chiellini,84,CB
F. Chiesa,84,LW
S. Tonali,84,"CDM,CM"
A. Bastoni,84,CB
L. Pellegrini,84,"CAM,CM"
G. Di Lorenzo,82,RB
M. Locatelli,82,"CDM,CM"
L. Spinazzola,82,"LWB,LM"
F. Acerbi,82,CB
N. Zaniolo,81,"CF,RW,RM"
G. Mancini,81,CB
Rafael Tolói,81,CB
V. Grifo,81,"LM,CF"
M. Politano,81,"RW,RM"
D. Calabria,80,RB
C. Biraghi,80,LB
A. Consigli,80,GK
A. Candreva,80,"RM,CM"
M. Darmian,80,"RWB,RM"
A. Cragno,80,GK
G. Scamacca,80,ST
B. Cristante,80,"CDM,CM"
A. Belotti,80,ST
A. Romagnoli,80,CB
A. Ogbonna,79,CB
G. Raspadori,79,"CF,CAM,LM"
G. Buffon,79,GK
M. Lazzari,79,RB
João Pedro,79,ST
M. Zaccagni,79,LW
M. Perin,79,GK
M. Silvestri,79,GK
A. Florenzi,79,RB
D. Zappacosta,79,"LWB,LM,RM"
F. Bernardeschi,79,"RM,RW"
Luiz Felipe,79,CB
G. Vicario,78,GK
G. Bonaventura,78,CM
F. Caputo,78,ST
P. Gollini,78,GK
M. Kean,78,"ST,LW"
M. Faraoni,78,"RWB,RM"
A. Meret,78,GK
D. D'Ambrosio,78,CB
G. Caprari,78,CF
F. Dimarco,78,"LWB,LM,CB"
E. Audero,78,GK
S. Sensi,78,"CM,CAM"
G. Maggiore,77,"CM,CDM"
R. Soriano,77,"CAM,CM,CF"
S. El Shaarawy,77,"LW,LM"
M. Balotelli,77,ST
S. Sirigu,77,GK
D. Frattesi,77,"CM,CDM"
M. Pessina,77,"CAM,CM,CF"
Emerson,77,LB
G. Castrovilli,77,CM
R. Orsolini,76,"CF,RW"
F. Di Francesco,76,"LW,RW"
L. Montipò,76,GK
A. Petagna,76,ST
R. Saponara,76,LW
P. Terracciano,76,GK
N. Casale,76,CB
I. Provedel,76,GK
M. De Sciglio,76,"RB,LB"
R. Sottil,76,"LW,RW"
T. Pobega,76,CM
L. Pellegrini,76,"LB,LWB"
D. Rugani,76,CB
D. Cataldi,76,"CDM,CM"
R. Gagliardini,76,"CDM,CM"
F. Quagliarella,76,ST
L. De Silvestri,76,"RWB,RM"
S. Okaka,76,ST
D. Caligiuri,75,"RM,RWB,CM"
S. Birindelli,75,"RWB,RM,RB"
P. Beruatto,75,LB
A. Brignoli,75,GK
A. Pinamonti,75,ST
M. Di Gregorio,75,GK
S. Birindelli,75,"RWB,RM,RB"
N. Rovella,75,"CM,CDM"
F. Gatti,75,CB
D. Criscito,75,"CB,LB,LM"
R. Mandragora,75,"CM,CDM"
N. Sansone,75,"CAM,LW"
F. Gatti,75,CB
P. Beruatto,75,LB
G. Pezzella,75,"LB,LM,LWB"
M. Carnesecchi,74,GK
M. Aramu,74,"CAM,RW"
