Known As,Overall,Positions Played
Rodri,87,CDM
De Gea,87,GK
Thiago,86,CM
Parejo,86,CM
A. Laporte,86,CB
Jordi Alba,85,LB
Sergio Busquets,85,CDM
Iago Aspas,85,ST
Gerard Moreno,85,ST
Pedri,85,CM
Sergio Ramos,84,CB
Carvajal,84,RB
Canales,84,"RM,CAM,CDM"
Muniain,84,"LM,CAM"
Oyarzabal,84,"LW,RW"
Marcos Llorente,84,"CM,RM,RB"
Angeliño,83,"LWB,LM"
Marco Asensio,83,RW
Merino,83,CM
Fabián,83,"CM,CDM"
Unai Simón,83,GK
Carlos Soler,83,"CM,RM,CDM"
Pau Torres,83,CB
Jesús Navas,83,"RB,RM"
Piqué,83,CB
David Silva,83,"CAM,CM"
Luis Alberto,83,CM
Koke,83,"CM,CDM"
David Soria,82,GK
Gayà,82,"LB,LM"
Grimaldo,82,"LB,LWB,LM"
Aritz Elustondo,82,"CB,RB"
Álex Remiro,82,GK
Dani Olmo,82,"CAM,CF"
Ferran Torres,82,"LW,ST"
Sergi Darder,82,"CM,CDM,CAM"
Iñigo Martínez,82,CB
Yuri Berchiche,82,LB
Azpilicueta,82,"CB,RWB,RB"
Raúl Albiol,82,CB
Isco,82,"CAM,LW,CM"
Nacho Fernández,82,"CB,LB"
Pedro Porro,81,"RWB,RM"
Cucurella,81,"LB,CB,LM"
Pablo Sarabia,81,"RW,CAM,LW"
Marc Bartra,81,CB
Adán,81,GK
Borja Iglesias,81,ST
Lucas Vázquez,81,"RB,RW"
Javi Galán,80,LB
Mario Hermoso,80,"CB,LB"
Reguilón,80,"LWB,LB"
Jonathan Viera,80,"CAM,CM,LM"
Sergi Roberto,80,"RB,CM"
Morata,80,ST
Deulofeu,80,"CF,ST"
Edgar Badia,80,GK
Yeray,80,CB
Raúl García,80,ST
Joselu,80,ST
Álex Moreno,80,LB
Kepa,80,GK
Joan Jordán,80,"CM,CDM"
Álex Berenguer,80,"RM,LM"
Morales,80,"LM,ST"
Saúl,80,"CM,LM,LWB"
Carles Gil,80,"CAM,RM"
Unai Núñez,79,CB
Luis Milla,79,"CDM,CM"
Diego López,79,GK
Ansu Fati,79,LW
Pedro,79,"LW,RW,CF"
Gavi,79,"CM,LW,RW"
Yeremy Pino,79,"RM,ST"
Zubimendi,79,"CM,CDM"
Guaita,79,GK
Pablo Fornals,79,"CAM,LM"
David García,79,CB
Rafa Mir,79,ST
Joaquín,79,"RM,LM"
Sergio Asenjo,79,GK
Fran Beltrán,79,"CDM,CM"
Pau López,79,GK
Suso,79,RW
Juanmi,79,"LM,ST"
Marcos Alonso,79,"LB,LWB"
Ander Herrera,79,"CM,CDM"
Héctor Bellerín,79,RB
Adama Traoré,79,"RW,LW"
Rubén García,79,"LM,CM,CAM"
Jonny,79,"LWB,RWB"
Manu Trigueros,79,"CM,LM,RM"
Denis Suárez,79,CM
Puado,78,"LM,RM,ST"
Melendo,78,"CAM,RM,CM"
Portu,78,"RM,LM"
Juan Bernat,78,LB
Víctor Ruiz,78,CB
Mario Gaspar,78,RB
Rubén Peña,78,"RB,RM,LB"
